id year    education  sex nativeBorn    vocabulary age agegroup
20040001    2004    <HS Female  No  3   52  5
20040002    2004    HS  Female  No  6   43  4
20040003    2004    HS  Male    No  9   52  5
20040005    2004    Bach    Female  Yes 8   34  3
20040008    2004    HS  Male    No  1   22  2
20040010    2004    JC  Male    Yes 7   26  2
20040012    2004    HS  Female  No  6   58  5
20040013    2004    <HS Male    No  6   32  3
20040016    2004    <HS Male    Yes 5   48  4
20040017    2004    <HS Female  No  1   39  3
20040019    2004    Bach    Female  No  4   38  3
20040020    2004    HS  Male    No  6   29  2
20040022    2004    HS  Female  Yes 9   67  6
20040023    2004    HS  Male    No  0   57  5
20040026    2004    JC  Female  No  6   55  5
20040027    2004    HS  Female  Yes 9   35  3
20040030    2004    Bach    Male    Yes 10  73  6
20040032    2004    <HS Male    Yes 3   68  6
20040035    2004    Bach    Female  Yes 10  47  4
20040036    2004    Bach    Female  Yes 8   58  5
20040038    2004    Grad    Male    Yes 9   29  2
20040046    2004    Bach    Male    Yes 9   55  5
20040048    2004    Grad    Male    Yes 4   33  3
20040049    2004    HS  Female  Yes 5   26  2
20040053    2004    HS  Female  Yes 5   37  3
20040054    2004    HS  Male    No  0   49  4
20040057    2004    Grad    Male    Yes 10  47  4
20040059    2004    Bach    Female  Yes 10  55  5
20040060    2004    Bach    Male    Yes 9   74  6
20040061    2004    Bach    Male    Yes 7   49  4
20040062    2004    Bach    Male    Yes 6   40  4
20040063    2004    Grad    Female  No  10  40  4
20040065    2004    Grad    Male    No  8   55  5
20040066    2004    Grad    Female  Yes 7   48  4
20040069    2004    Grad    Female  No  8   57  5
20040070    2004    Grad    Female  Yes 10  59  5
20040071    2004    Bach    Female  Yes 8   38  3
20040072    2004    Bach    Female  Yes 7   33  3
20040074    2004    HS  Female  Yes 0   45  4
20040075    2004    JC  Female  Yes 10  41  4
20040079    2004    <HS Female  No  1   57  5
20040080    2004    Grad    Female  Yes 9   66  6
20040083    2004    Bach    Female  No  6   30  3
20040084    2004    Bach    Male    Yes 7   48  4
20040087    2004    Bach    Male    Yes 9   32  3
20040089    2004    Bach    Male    No  6   33  3
20040090    2004    HS  Female  Yes 8   69  6
20040092    2004    Bach    Male    No  6   31  3
20040093    2004    JC  Male    No  4   31  3
20040094    2004    HS  Female  Yes 7   45  4
20040095    2004    HS  Female  Yes 9   79  6
20040096    2004    HS  Female  Yes 4   18  2
20040099    2004    HS  Male    Yes 6   63  6
20040103    2004    Bach    Female  Yes 7   37  3
20040105    2004    JC  Female  No  6   33  3
20040106    2004    Bach    Female  Yes 7   50  5
20040108    2004    <HS Male    Yes 0   42  4
20040110    2004    HS  Female  No  3   57  5
20040112    2004    <HS Male    No  4   60  6
20040113    2004    HS  Female  No  6   74  6
20040116    2004    Grad    Female  Yes 10  34  3
20040117    2004    Grad    Male    Yes 9   60  6
20040120    2004    HS  Male    Yes 8   35  3
20040122    2004    Bach    Male    Yes 4   35  3
20040125    2004    HS  Female  Yes 9   47  4
20040129    2004    HS  Male    Yes 4   62  6
20040130    2004    HS  Male    Yes 7   61  6
20040133    2004    <HS Male    Yes 3   19  2
20040135    2004    HS  Male    Yes 6   55  5
20040136    2004    Grad    Female  Yes 9   32  3
20040139    2004    HS  Male    No  2   50  5
20040140    2004    HS  Female  Yes 5   24  2
20040143    2004    HS  Female  Yes 4   50  5
20040144    2004    Bach    Female  Yes 9   55  5
20040146    2004    HS  Male    Yes 6   49  4
20040149    2004    HS  Male    Yes 7   28  2
20040151    2004    <HS Male    Yes 2   61  6
20040152    2004    HS  Female  Yes 5   35  3
20040155    2004    Bach    Male    Yes 9   32  3
20040156    2004    HS  Male    Yes 7   58  5
20040159    2004    Grad    Male    Yes 9   33  3
20040160    2004    HS  Male    Yes 4   58  5
20040163    2004    Bach    Male    Yes 5   33  3
20040166    2004    <HS Male    Yes 5   25  2
20040169    2004    Bach    Male    Yes 7   63  6
20040171    2004    Bach    Male    Yes 8   67  6
20040177    2004    Grad    Male    Yes 10  74  6
20040178    2004    Bach    Male    Yes 9   62  6
20040181    2004    HS  Female  Yes 5   38  3
20040182    2004    HS  Male    Yes 0   69  6
20040183    2004    <HS Male    No  3   35  3
20040184    2004    HS  Female  No  5   59  5
20040185    2004    HS  Male    Yes 6   76  6
20040191    2004    HS  Female  Yes 8   79  6
20040193    2004    HS  Male    Yes 5   47  4
20040194    2004    <HS Male    Yes 6   62  6
20040198    2004    HS  Male    No  8   30  3
20040199    2004    HS  Female  Yes 6   64  6
20040202    2004    HS  Male    Yes 7   18  2
20040203    2004    JC  Male    Yes 7   64  6
20040204    2004    JC  Female  Yes 7   38  3
20040205    2004    HS  Male    Yes 0   49  4
20040206    2004    HS  Male    Yes 8   28  2
20040207    2004    <HS Male    No  5   24  2
20040210    2004    JC  Male    Yes 6   24  2
20040211    2004    HS  Male    Yes 6   28  2
20040212    2004    <HS Male    No  1   51  5
20040214    2004    HS  Female  Yes 4   30  3
20040216    2004    HS  Female  Yes 7   44  4
20040218    2004    Bach    Female  Yes 9   34  3
20040220    2004    HS  Male    Yes 6   31  3
20040223    2004    Bach    Male    Yes 8   55  5
20040225    2004    HS  Male    Yes 4   23  2
20040227    2004    <HS Male    No  4   36  3
20040229    2004    HS  Female  Yes 6   26  2
20040230    2004    HS  Female  No  4   33  3
20040233    2004    Bach    Male    Yes 7   57  5
20040235    2004    HS  Female  Yes 5   64  6
20040237    2004    HS  Female  No  4   26  2
20040238    2004    Bach    Female  Yes 5   28  2
20040239    2004    HS  Female  Yes 5   41  4
20040240    2004    HS  Male    Yes 6   70  6
20040243    2004    Grad    Male    Yes 8   40  4
20040248    2004    HS  Female  Yes 6   62  6
20040250    2004    Grad    Female  Yes 8   59  5
20040252    2004    <HS Male    No  5   62  6
20040253    2004    Grad    Female  Yes 8   49  4
20040255    2004    HS  Male    Yes 5   44  4
20040256    2004    Bach    Female  No  0   40  4
20040258    2004    HS  Male    No  4   50  5
20040259    2004    Grad    Female  No  9   44  4
20040260    2004    Bach    Male    Yes 6   28  2
20040261    2004    Bach    Female  Yes 7   24  2
20040262    2004    HS  Male    Yes 7   20  2
20040264    2004    HS  Male    Yes 6   38  3
20040266    2004    HS  Female  Yes 4   24  2
20040267    2004    HS  Female  Yes 6   54  5
20040268    2004    Grad    Male    Yes 8   49  4
20040269    2004    Bach    Female  No  4   32  3
20040270    2004    Bach    Female  Yes 6   27  2
20040271    2004    JC  Male    Yes 6   25  2
20040273    2004    HS  Female  Yes 4   18  2
20040276    2004    HS  Female  Yes 6   36  3
20040278    2004    Bach    Female  Yes 8   60  6
20040280    2004    Grad    Female  Yes 10  39  3
20040281    2004    Bach    Male    Yes 7   28  2
20040284    2004    Grad    Female  Yes 8   42  4
20040285    2004    Bach    Male    Yes 8   46  4
20040287    2004    Bach    Female  No  6   35  3
20040289    2004    Bach    Female  No  6   53  5
20040290    2004    HS  Female  Yes 6   50  5
20040292    2004    HS  Female  Yes 6   45  4
20040294    2004    HS  Male    No  0   49  4
20040296    2004    Bach    Female  Yes 6   25  2
20040299    2004    Bach    Male    Yes 6   46  4
20040300    2004    JC  Male    Yes 6   23  2
20040301    2004    Bach    Female  Yes 6   39  3
20040302    2004    HS  Female  No  4   22  2
20040305    2004    HS  Male    Yes 7   46  4
20040309    2004    HS  Male    Yes 5   41  4
20040313    2004    HS  Male    Yes 4   56  5
20040314    2004    <HS Male    Yes 3   18  2
20040316    2004    Bach    Female  Yes 8   50  5
20040317    2004    HS  Male    Yes 6   48  4
20040320    2004    HS  Male    Yes 7   60  6
20040322    2004    <HS Male    Yes 4   43  4
20040323    2004    JC  Female  Yes 9   52  5
20040324    2004    HS  Female  Yes 5   24  2
20040326    2004    JC  Male    Yes 5   62  6
20040328    2004    Bach    Female  Yes 6   37  3
20040330    2004    JC  Male    Yes 8   54  5
20040331    2004    HS  Female  Yes 4   24  2
20040333    2004    HS  Male    Yes 2   35  3
20040335    2004    HS  Female  No  7   49  4
20040336    2004    Bach    Male    Yes 7   24  2
20040337    2004    Grad    Female  Yes 9   50  5
20040339    2004    Bach    Male    No  9   41  4
20040340    2004    Bach    Female  Yes 7   82  6
20040342    2004    Grad    Male    No  6   44  4
20040344    2004    HS  Female  Yes 4   28  2
20040345    2004    HS  Female  Yes 7   33  3
20040346    2004    HS  Male    Yes 5   40  4
20040349    2004    HS  Female  Yes 6   41  4
